size,Triton,Torch
4096.000000,11.636364,12.094488
8192.000000,23.097745,24.000000
16384.000000,40.959998,40.688742
32768.000000,65.361700,64.673682
65536.000000,106.022431,107.789472
131072.000000,148.137435,149.035775
262144.000000,185.900148,181.842403
524288.000000,209.603415,197.199594
1048576.000000,221.780034,222.256391
2097152.000000,229.588369,232.122789
4194304.000000,234.022312,238.312729
8388608.000000,236.378723,241.273813
16777216.000000,238.141331,242.465875
33554432.000000,239.971624,244.228802
67108864.000000,239.462414,244.274778
134217728.000000,240.472647,245.295273
