N,Triton,Torch
256.000000,414.318443,545.627309
384.000000,499.561399,613.819475
512.000000,558.904429,624.986331
640.000000,584.476091,621.159356
768.000000,620.449375,624.842880
896.000000,645.521833,640.278959
1024.000000,660.746313,654.634455
1152.000000,714.817145,531.322007
1280.000000,717.628680,555.909691
1408.000000,728.505728,527.836989
1536.000000,730.584599,563.907421
1664.000000,732.994096,561.005723
1792.000000,728.371766,590.556088
1920.000000,735.340415,556.757474
2048.000000,738.207525,612.175481
2176.000000,746.014145,532.895939
2304.000000,745.146788,538.251105
2432.000000,747.861296,546.590332
2560.000000,746.073757,560.787780
2688.000000,752.407962,513.770652
2816.000000,750.257729,529.258421
2944.000000,750.970765,542.602228
3072.000000,754.880699,553.294322
3200.000000,752.466215,524.759040
3328.000000,750.590315,545.485643
3456.000000,758.131989,562.984108
3584.000000,758.724431,580.911959
3712.000000,757.385485,556.497613
3840.000000,760.235329,575.867663
3968.000000,761.959525,577.893305
4096.000000,758.797800,651.965491
4224.000000,767.419542,614.880975
4352.000000,765.374671,627.670869
4480.000000,767.474973,629.515739
4608.000000,765.920272,627.054385
4736.000000,764.960184,599.144224
4864.000000,767.633042,594.572181
4992.000000,768.989810,582.926578
5120.000000,770.871072,568.317829
5248.000000,769.488003,543.876753
5376.000000,765.453032,531.752204
5504.000000,768.093609,523.957068
5632.000000,771.416159,522.122754
5760.000000,767.806446,495.035872
5888.000000,769.955046,492.696902
6016.000000,768.112110,466.943672
6144.000000,767.561512,506.767169
6272.000000,770.934656,494.452216
6400.000000,768.177981,471.361004
6528.000000,768.656555,460.789668
6656.000000,769.627660,456.892742
6784.000000,769.521295,445.054457
6912.000000,769.880717,434.947486
7040.000000,769.763829,425.511900
7168.000000,768.256072,413.891618
7296.000000,768.909886,410.748054
7424.000000,768.248459,401.742415
7552.000000,764.605577,397.549022
7680.000000,768.901082,395.182237
7808.000000,770.018612,390.433744
7936.000000,771.135083,387.669029
8064.000000,771.057287,383.578212
8192.000000,759.845677,401.240109
8320.000000,768.103174,400.487065
8448.000000,767.302897,395.407941
8576.000000,766.174396,392.476359
8704.000000,769.751661,392.046826
8832.000000,771.058022,390.070926
8960.000000,772.660772,387.541680
9088.000000,772.677593,386.841548
9216.000000,774.872918,384.828172
9344.000000,772.264822,383.025513
9472.000000,770.019696,381.381904
9600.000000,771.157221,380.375072
9728.000000,769.436776,380.986561
9856.000000,766.655822,378.127353
9984.000000,771.232693,377.717906
10112.000000,773.230791,377.844774
10240.000000,772.900965,391.945284
10368.000000,776.035613,389.747828
10496.000000,774.499559,389.001788
10624.000000,772.460023,387.950405
10752.000000,772.284056,387.396733
10880.000000,775.244919,386.124589
11008.000000,770.192194,385.458651
11136.000000,775.538351,385.427091
11264.000000,773.702652,383.527565
11392.000000,774.997725,383.007702
11520.000000,774.550982,381.621820
11648.000000,770.976444,381.654275
11776.000000,773.901599,381.855126
11904.000000,772.120844,380.802879
12032.000000,772.348482,379.872142
12160.000000,774.342709,379.120181
12288.000000,772.988520,388.477917
12416.000000,773.436854,387.455076
12544.000000,768.049265,388.018748
12672.000000,773.014420,386.924053
