M,N,K,cuBLAS,Triton
256.000000,256.000000,256.000000,4.681143,4.681143
384.000000,384.000000,384.000000,11.146280,12.288000
512.000000,512.000000,512.000000,21.845333,23.831273
640.000000,640.000000,640.000000,42.666665,39.384616
768.000000,768.000000,768.000000,52.043293,55.296000
896.000000,896.000000,896.000000,70.246402,73.943582
1024.000000,1024.000000,1024.000000,63.550060,99.864382
1152.000000,1152.000000,1152.000000,93.312000,85.313826
1280.000000,1280.000000,1280.000000,95.255814,107.789478
1408.000000,1408.000000,1408.000000,118.516867,136.294403
1536.000000,1536.000000,1536.000000,122.032549,114.159485
1664.000000,1664.000000,1664.000000,128.555882,134.312118
1792.000000,1792.000000,1792.000000,108.071386,123.510152
1920.000000,1920.000000,1920.000000,126.825687,141.061229
2048.000000,2048.000000,2048.000000,144.631169,159.783011
2176.000000,2176.000000,2176.000000,131.527110,145.823533
2304.000000,2304.000000,2304.000000,139.695152,141.348350
2432.000000,2432.000000,2432.000000,139.081508,156.952317
2560.000000,2560.000000,2560.000000,141.852815,147.603602
2688.000000,2688.000000,2688.000000,151.127719,162.107072
2816.000000,2816.000000,2816.000000,142.065820,159.758996
2944.000000,2944.000000,2944.000000,143.206988,153.341637
3072.000000,3072.000000,3072.000000,155.986513,165.564625
3200.000000,3200.000000,3200.000000,156.862748,167.101825
3328.000000,3328.000000,3328.000000,160.694855,160.694855
3456.000000,3456.000000,3456.000000,147.119655,163.532583
3584.000000,3584.000000,3584.000000,145.729975,158.006185
3712.000000,3712.000000,3712.000000,146.477041,162.434699
3840.000000,3840.000000,3840.000000,146.862435,157.090908
3968.000000,3968.000000,3968.000000,162.050386,162.265868
4096.000000,4096.000000,4096.000000,165.713689,172.738393
