N,Triton,Torch
1024.000000,42.134046,376.463366
1536.000000,85.432214,441.319849
2048.000000,123.575109,503.638804
2560.000000,153.366359,542.816108
3072.000000,182.969172,551.108649
3584.000000,216.596791,478.864301
4096.000000,249.048214,484.107101
4608.000000,276.328873,490.770199
5120.000000,303.876357,497.489901
5632.000000,332.516597,502.775306
6144.000000,361.370244,507.866983
6656.000000,392.115042,511.436496
7168.000000,404.275843,489.509496
7680.000000,441.881926,494.072705
8192.000000,507.641598,497.230391
8704.000000,532.982936,503.250157
9216.000000,501.817703,508.999171
9728.000000,497.211755,510.338723
10240.000000,631.570841,513.370324
10752.000000,669.520888,499.306817
11264.000000,681.671517,501.420168
11776.000000,726.714986,507.361276
12288.000000,760.695151,516.596443
12800.000000,764.357337,517.525663
13312.000000,751.819402,516.292082
13824.000000,809.271438,519.236639
14336.000000,849.868642,508.923375
14848.000000,891.995025,512.068989
15360.000000,910.573480,517.934663
15872.000000,987.419670,517.345574
